ROW_ID,PROJ_ID,EVT_STAT_CD,X_SUB_STATUS
"&_%&//&,""1-67Z5TO"",""Reported"",""Done"""
"1-MLGFYN,""1-67Z5TO"",""Reported"",""Done"""
"1-MLGFZ3,""1-67Z5TO"",""Reported"",""Done"""
"1-MLGFZJ,""1-67Z5TO"",""Reported"",""Done"""
"1-MLGFZZ,""1-67Z5TO"",""Reported"",""Done"""
"1-MLGG0J,""1-67Z5TO"",""Reported"",""Done"""
"1-MLGG0Z,""1-67Z5TO"",""Reported"",""Done"""
"1-MLXIRJ,""1-3DAZB9"",""Reported"",""Done"""
"1-MLXIS1,""1-3DAZB9"",""Reported"",""Done"""
"1-MLXISJ,""1-3DAZB9"",""Reported"",""Done"""
"1-MLXIT1,""1-3DAZB9"",""Reported"",""Done"""
"1-MLXITJ,""1-3DAZB9"",""Cancelled"",""Cancelled"""
"1-MLXIU1,""1-3DAZB9"",""Ready"",""Fully Booked"""
